property,seed,basis,arm,realization,init,epochs,baseline,corrected,delta,probe_r2_mean,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,1,primary,random,4,1,16,0.09435965,0.09465761,0.00029795617,-0.02169191837310791,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633053,0.09465761,,,,0.10779954,0.19237494
dipole,1,primary,random,4,2,16,0.09435965,0.0944736,0.00011394918,-0.016283631324768066,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663313,0.0944736,,,,0.10713925,0.19201152
dipole,1,primary,shuffled,0,0,19,0.09435965,0.09459432,0.00023467094,-0.019907355308532715,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663313,0.09459432,,,,0.10757945,0.19225278
dipole,1,primary,shuffled,0,1,22,0.09435965,0.09451107,0.00015141815,-0.017594337463378906,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633124,0.09451107,,,,0.10728068,0.19209409
dipole,1,primary,shuffled,0,2,19,0.09435965,0.09464669,0.00028704107,-0.02155160903930664,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663316,0.09464669,,,,0.10776241,0.19235668
dipole,1,primary,shuffled,1,0,19,0.09435965,0.09456573,0.00020607561,-0.018888235092163086,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.66331,0.09456573,,,,0.10748035,0.19219802
dipole,1,primary,shuffled,1,1,21,0.09435965,0.094593324,0.00023367256,-0.01972055435180664,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663316,0.094593324,,,,0.10756726,0.19225185
dipole,1,primary,shuffled,1,2,18,0.09435965,0.094696626,0.00033697486,-0.022885560989379883,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633134,0.094696626,,,,0.10792889,0.19245258
dipole,1,primary,shuffled,2,0,21,0.09435965,0.094632715,0.00027306378,-0.02105128765106201,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633124,0.094632715,,,,0.10769932,0.19232589
dipole,1,primary,shuffled,2,1,20,0.09435965,0.094646975,0.0002873242,-0.021503090858459473,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.66331,0.094646975,,,,0.10775381,0.1923555
dipole,1,primary,shuffled,2,2,16,0.09435965,0.09462203,0.00026237965,-0.020691275596618652,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633143,0.09462203,,,,0.107667714,0.1923061
dipole,1,primary,shuffled,3,0,20,0.09435965,0.09450761,0.00014796108,-0.017164230346679688,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663315,0.09450761,,,,0.10725545,0.19207679
dipole,1,primary,shuffled,3,1,20,0.09435965,0.09455731,0.00019765645,-0.018692851066589355,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633077,0.09455731,,,,0.107443735,0.19217668
dipole,1,primary,shuffled,3,2,19,0.09435965,0.094590075,0.0002304241,-0.019734621047973633,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663306,0.094590075,,,,0.10755909,0.1922429
dipole,1,primary,shuffled,4,0,20,0.09435965,0.09456121,0.00020156056,-0.01885664463043213,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633143,0.09456121,,,,0.10744942,0.19218488
dipole,1,primary,shuffled,4,1,22,0.09435965,0.094499975,0.00014032423,-0.01690065860748291,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633162,0.094499975,,,,0.10721371,0.19205824
dipole,1,primary,shuffled,4,2,18,0.09435965,0.09466473,0.00030507892,-0.02194035053253174,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633124,0.09466473,,,,0.10781995,0.19239013
dipole,2,primary,null,0,0,,0.09219367,0.09219367,0.0,,,4.506803,0.09219367,,,,0.104156874,0.18661891,,,,,,,,
dipole,2,primary,tda,0,0,88,0.09219367,0.09471443,0.0025207624,-0.10591959953308105,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5067987,0.09471443,,,,0.109016694,0.1917299
dipole,2,primary,tda,0,1,51,0.09219367,0.09492803,0.002734363,-0.12071382999420166,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5067925,0.09492803,,,,0.10959266,0.1921545
dipole,2,primary,tda,0,2,52,0.09219367,0.09402245,0.0018287823,-0.06660580635070801,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506796,0.09402245,,,,0.10723109,0.19031349
dipole,2,primary,random,0,0,17,0.09219367,0.09228154,8.787215e-05,-0.015331029891967773,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506798,0.09228154,,,,0.10452022,0.18679409
dipole,2,primary,random,0,1,16,0.09219367,0.09228191,8.8237226e-05,-0.015409708023071289,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506794,0.09228191,,,,0.10451545,0.18679094
dipole,2,primary,random,0,2,17,0.09219367,0.09233026,0.0001365915,-0.017514348030090332,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506795,0.09233026,,,,0.10471251,0.1868892
dipole,2,primary,random,1,0,16,0.09219367,0.092382126,0.00018845499,-0.019677281379699707,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506802,0.092382126,,,,0.10489725,0.18698634
dipole,2,primary,random,1,1,16,0.09219367,0.09228745,9.378046e-05,-0.01565229892730713,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506796,0.09228745,,,,0.10454163,0.18680348
