property,seed,basis,arm,realization,alpha,baseline,corrected,delta,probe_r2_mean,coef_mae_mean,spearman_mean,frac_small,cond_median,cond_frac_gt_1e6,sens_delta,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,0,secondary,shuffled,2,1000.0,0.090131596,0.09641478470854485,0.006283188977763296,-3.401591289316682e-05,1.4729303216502494,-0.0003202142168394335,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.658803824287675,0.09641478470854485,,,,0.11196329155726438,0.19577393443368127
dipole,0,secondary,shuffled,3,1000.0,0.090131596,0.09607428128415417,0.005942685553372615,-8.485409976836482e-05,1.4732801239459992,0.0017169616967259865,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.634713774972147,0.09607428128415417,,,,0.11202126841722876,0.19507526806979686
dipole,0,secondary,shuffled,4,1000000.0,0.090131596,0.09056420474336146,0.0004326090125799098,-2.321141438610397e-06,1.4709598294111297,0.0019220658742202575,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.539522434389959,0.09056420474336146,,,,0.10198147312811391,0.18379592544212248
dipole,1,primary,null,0,,0.09435965,0.09435965,0.0,,,,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633115,0.09435965,,,,0.106728055,0.19178858
dipole,1,primary,tda,0,1000.0,0.09435965,0.09446653264145727,0.00010688143353337898,-0.0180963421143574,0.10610209773995906,-0.025753671929255356,0.007309919530721215,1.0,0.0,0.00020580620060417498,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633215653564095,0.09446653264145727,,,,0.10700620915841012,0.19198006935995462
dipole,1,primary,random,0,1000000.0,0.09435965,0.09461399891008655,0.00025434770216266334,-0.020468959382109686,0.1065330012898189,0.00602222624460695,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565414455,0.09461399891008655,,,,0.10764856071793272,0.19229113600391884
dipole,1,primary,random,1,10000.0,0.09435965,0.09461894134313599,0.00025929013521210076,-0.020493227284504645,0.10654206503715657,0.007052604223917158,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565454384,0.09461894134313599,,,,0.10765670598993217,0.1922969410824006
dipole,1,primary,random,2,1000000.0,0.09435965,0.09461439160101602,0.0002547403930921316,-0.020480425090182885,0.10653342696171803,0.0029666668089897022,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565415629,0.09461439160101602,,,,0.1076491470801077,0.19229164355319198
dipole,1,primary,random,3,1000000.0,0.09435965,0.09461465425434211,0.00025500304641822014,-0.020489268023701657,0.10653431176297916,-2.9810056502395306e-05,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565418767,0.09461465425434211,,,,0.10765000287538395,0.19229215333211871
dipole,1,primary,random,4,1000000.0,0.09435965,0.09461459777965725,0.000254946571733361,-0.02048971376210318,0.10653452511536605,-0.004276678156572251,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565412796,0.09461459777965725,,,,0.10764995997441819,0.19229212077347677
dipole,1,primary,shuffled,0,1000000.0,0.09435965,0.094611653436883,0.0002520022289591167,-0.020410591486695218,0.10652614096834229,-0.004173577070804502,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565412459,0.094611653436883,,,,0.10763985672825552,0.19228656058949786
dipole,1,primary,shuffled,1,1000000.0,0.09435965,0.09461860586700702,0.0002589546590831271,-0.020610221345271906,0.10654566537457516,-0.0033223423466209453,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565419631,0.09461860586700702,,,,0.10766379708607014,0.1922999225904691
dipole,1,primary,shuffled,2,1000000.0,0.09435965,0.09461880507664863,0.000259153868724743,-0.020611911816048822,0.10654626580700573,-0.0010032451604516197,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565424377,0.09461880507664863,,,,0.1076643831118428,0.19230045770553447
dipole,1,primary,shuffled,3,1000000.0,0.09435965,0.0946113253393694,0.00025167413144551454,-0.020392377542878704,0.10652488287478154,0.0019516908939530633,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565413213,0.0946113253393694,,,,0.1076385790185591,0.19228560565486003
dipole,1,primary,shuffled,4,100000.0,0.09435965,0.09462197870514762,0.00026232749722372717,-0.020693979709355714,0.10655640011977001,0.00023613890019220856,0.007309919530721215,1.0,0.0,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.663321565414538,0.09462197870514762,,,,0.10767494294961319,0.19230620439551205
dipole,1,secondary,null,0,,0.09435965,0.09435965,0.0,,,,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6633115,0.09435965,,,,0.106728055,0.19178858
